"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.47809303485299204, 0.2322465984619978]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.4609991109482667, 0.23016492900760516]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.4583716247806291, 0.2303887636000173]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.46161172821572194, 0.23476685046611287]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.46161172821572194, 0.23476685046611287]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.4636111985114262, 0.23765586852810638]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.4546290929780991, 0.22760484577247223]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.435442533946809, 0.20839352637139924]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.40860450449697944, 0.19097975472920775]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
--------------------,--------------------------------------,----------------------------,27;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.34444729983095174, 0.14479903338997024]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.3101482643343721, 0.12382973884591529]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.2788656464154177, 0.1082895009753837]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.24737868987234424, 0.09165136530069759]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.3103110682382941, 0.02051141228098545]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.36029970485138174, 0.04082271683688711]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.40718754257679524, 0.06367293446317848]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.29180023851529324, 0.010288055674166588]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.3418922350910914, 0.03232582111591276]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.3900842876212192, 0.05639471701541391]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.4367484919721354, 0.07721380419116633]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.31272241205639567, 0.020555778725958228]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.36083253907254237, 0.039246889663747446]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"3,""[-0.34520797720143287, 0.07091574941662125]"",""[-0.40766538888745857, 0.06311991324793101]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
--------------------,--------------------------------------,----------------------------,15;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.14648057526680563, 0.035528028631102784]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.1113468513288037, 0.021812002034728106]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.07733064993761106, 0.009062998889507684]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.047705792242810824, 0.0005723374677237731]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.0210200586791998, 0.022200006808894723]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[-0.0005241859639580658, 0.03245588547011203]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.007512445268273501, 0.024967592917452115]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.009388686677046447, 0.021229697093384445]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.009388686677046447, 0.021229697093384445]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.009388686677046447, 0.021229697093384445]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.009388686677046447, 0.021229697093384445]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.009083097751433821, 0.024420781625662785]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.015203561681656593, 0.017041312783543216]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.039460155928834666, -0.04193363019968191]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"4,""[-0.025643648385774674, 0.012692603141579158]"",""[0.06654397726892347, -0.08150980806624793]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
--------------------,--------------------------------------,----------------------------,16;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.13019602284561432, -0.12105035486849644]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.1643354192241062, -0.13843787075133457]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.20126729889516282, -0.1558145648625746]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.24051779497076667, -0.14276612429030466]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.28125754474430376, -0.0908962917498818]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"5,""[0.08456647308696255, -0.20428710106971765]"",""[0.08048355520679476, -0.21476119881705807]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
